Parameter,DOSPERT General Risk Preference,DOSPERT Recreation Preference,DOSPERT HS Preference,DOSPERT Social Preference,DOSPERT Financial Preference,DOSPERT Ethical Preference,DOSPERT Social Perception,DOSPERT Recreation Perception,DOSPERT HS Perception,DOSPERT Financial Perception,DOSPERT Ethical Perception,DOSPERT Social Benefit,DOSPERT Recreation Benefit,DOSPERT HS Benefit,DOSPERT Financial Benefit,DOSPERT Ethical Benefit,DOSPERT Social Likelihood,DOSPERT Recreation Likelihood,DOSPERT HS Likelihood,DOSPERT Financial Likelihood,DOSPERT Ethical Likelihood,DOSPERT Risk Benefit,DOSPERT Risk Perception,DOSPERT Risk Likelihood,UMS Affiliation,UMS Intimacy,UMS,Leadership,Prestige,Dominance,DoPL
DoPL,0.27**,0.20*,0.21*,0.27***,0.19*,0.27**,-2.47E-03,-9.78E-03,0.03,0.03,-0.04,0.27**,0.22*,0.22**,0.19*,0.28**,0.28**,0.30***,0.30***,0.34***,0.34***,0.26**,3.53E-03,0.40***,0.38***,0.24**,0.37***,0.74***,0.73***,0.73***,1
Dominance,0.26**,0.31***,0.23**,0.20*,0.14,0.29**,-0.02,-0.13,-0.08,-0.1,-0.20*,0.20*,0.30***,0.22**,0.15,0.27**,0.20*,0.38***,0.34***,0.33***,0.38***,0.25**,-0.12,0.42***,0.18*,8.23E-03,0.14,0.28**,0.37***,1,
Prestige,0.21*,0.07,0.16,0.26**,0.21*,0.17*,0.05,0.14,0.11,0.11,0.12,0.27**,0.13,0.18*,0.19*,0.20*,0.27**,0.17,0.28**,0.25**,0.28**,0.22*,0.13,0.31***,0.38***,0.43***,0.44***,0.36***,1,,
Leadership,0.12,0.05,0.08,0.17,0.1,0.14,-0.03,-6.41E-03,0.06,0.08,8.96E-03,0.16,0.06,0.09,0.09,0.15,0.17,0.13,0.07,0.18,0.1,0.12,0.02,0.20*,0.30**,0.16,0.29***,1,,,
UMS,0.16,-2.16E-03,0.14,0.17,0.22*,0.06,0.11,0.23*,0.18*,0.22**,0.28**,0.17*,0.07,0.17,0.20*,0.1,0.18*,0.12,0.17,0.22*,0.24**,0.16,0.23**,0.23**,0.95***,0.76***,1,,,,
UMS Intimacy,0.06,-0.07,0.07,0.09,0.11,-0.04,0.13,0.28**,0.17,0.22*,0.32***,0.11,0.02,0.09,0.09,8.10E-03,0.1,-0.08,0.06,0.07,0.06,0.07,0.26**,0.06,0.53***,1,,,,,
UMS Affiliation,0.17*,0.03,0.15,0.17,0.24**,0.09,0.08,0.16,0.16,0.19*,0.21*,0.18*,0.08,0.18*,0.22*,0.13,0.19*,0.19*,0.19*,0.26**,0.29**,0.18*,0.18*,0.28**,1,,,,,,
DOSPERT Risk Likelihood,0.59***,0.48***,0.55***,0.55***,0.46***,0.54***,-0.22*,-0.17,-0.13,-0.06,-0.14,0.54***,0.48***,0.55***,0.47***,0.54***,0.54***,0.80***,0.79***,0.80***,0.83***,0.58***,-0.16,1,,,,,,,
DOSPERT Risk Perception,-0.1,-0.34***,-0.19*,-8.90E-03,-1.32E-03,-0.16,0.81***,0.85***,0.88***,0.83***,0.88***,0.06,-0.1,-0.07,-0.07,-0.04,0.06,-0.17,-0.21*,-0.06,-0.07,-0.05,1,,,,,,,,
DOSPERT Risk Benefit,1.00***,0.82***,0.86***,0.84***,0.88***,0.87***,-0.12,-0.09,-0.07,0.09,-0.02,0.84***,0.88***,0.87***,0.88***,0.89***,0.84***,0.45***,0.51***,0.59***,0.47***,1,,,,,,,,,
DOSPERT Ethical Likelihood,0.47***,0.40***,0.42***,0.39***,0.40***,0.47***,-0.06,-0.1,-0.05,0.02,-0.12,0.39***,0.40***,0.42***,0.40***,0.47***,0.39***,0.60***,0.64***,0.60***,1,,,,,,,,,,
DOSPERT Financial Likelihood,0.59***,0.44***,0.48***,0.54***,0.49***,0.56***,-0.09,-0.06,-3.35E-03,-0.08,-0.03,0.54***,0.47***,0.49***,0.50***,0.58***,0.54***,0.55***,0.54***,1,,,,,,,,,,,
DOSPERT HS Likelihood,0.51***,0.40***,0.59***,0.42***,0.43***,0.46***,-0.26**,-0.15,-0.24**,-0.08,-0.20*,0.40***,0.40***,0.56***,0.44***,0.44***,0.40***,0.57***,1,,,,,,,,,,,,
DOSPERT Recreation Likelihood,0.45***,0.49***,0.43***,0.37***,0.30**,0.43***,-0.1,-0.24**,-0.1,-0.13,-0.14,0.37***,0.46***,0.43***,0.31***,0.42***,0.37***,1,,,,,,,,,,,,,
DOSPERT Social Likelihood,0.84***,0.58***,0.68***,1.00***,0.67***,0.65***,-0.11,0.05,0.04,0.18,0.1,1.00***,0.66***,0.70***,0.66***,0.68***,1,,,,,,,,,,,,,,
DOSPERT Ethical Benefit,0.89***,0.72***,0.76***,0.67***,0.72***,0.99***,-0.03,-0.09,-0.03,0.09,-0.09,0.68***,0.77***,0.78***,0.71***,1,,,,,,,,,,,,,,,
DOSPERT Financial Benefit,0.88***,0.70***,0.69***,0.66***,1.00***,0.69***,-0.15,-0.08,-0.11,0.04,0.01,0.66***,0.75***,0.69***,1,,,,,,,,,,,,,,,,
DOSPERT HS Benefit,0.88***,0.66***,0.99***,0.70***,0.70***,0.76***,-0.13,-0.11,-0.09,0.06,-0.04,0.70***,0.70***,1,,,,,,,,,,,,,,,,,
DOSPERT Recreation Benefit,0.88***,0.95***,0.69***,0.66***,0.75***,0.76***,-0.1,-0.16,-0.09,1.22E-04,-0.08,0.66***,1,,,,,,,,,,,,,,,,,,
DOSPERT Social Benefit,0.84***,0.58***,0.68***,1.00***,0.67***,0.65***,-0.11,0.05,0.04,0.18*,0.1,1,,,,,,,,,,,,,,,,,,,
DOSPERT Ethical Perception,-0.06,-0.29**,-0.14,0.05,0.07,-0.23**,0.62***,0.73***,0.73***,0.67***,1,,,,,,,,,,,,,,,,,,,,
DOSPERT Financial Perception,0.05,-0.19*,-0.03,0.12,0.12,-0.01,0.57***,0.66***,0.69***,1,,,,,,,,,,,,,,,,,,,,,
DOSPERT HS Perception,-0.1,-0.28***,-0.23**,-0.02,-0.05,-0.14,0.70***,0.67***,1,,,,,,,,,,,,,,,,,,,,,,
DOSPERT Recreation Perception,-0.12,-0.44***,-0.20*,-7.75E-04,-0.03,-0.19*,0.60***,1,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT Social Perception,-0.16,-0.27**,-0.22**,-0.20*,-0.1,-0.12,1,,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT Ethical Preference,0.88***,0.75***,0.77***,0.65***,0.69***,1,,,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT Financial Preference,0.88***,0.68***,0.69***,0.67***,1,,,,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT Social Preference,0.84***,0.59***,0.69***,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT HS Preference,0.87***,0.69***,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT Recreation Preference,0.83***,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOSPERT General Risk Preference,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,