Parameter                       ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
16. DoPL,0.26**,0.20*,0.21*,0.27**,0.19*,0.27**,0.27**,2.51E-03,0.41***,0.38***,0.24**,0.38***,0.73***,0.73***,0.73***,1
15. Dominance,0.26**,0.31***,0.23**,0.20*,0.14,0.29***,0.25**,-0.12,0.42***,0.18,5.10E-03,0.13,0.27**,0.37***,1,
14. Prestige,0.22**,0.07,0.16,0.26**,0.20*,0.18*,0.22**,0.13,0.31***,0.38***,0.43***,0.45***,0.36***,1,,
13. Leadership,0.13,0.05,0.08,0.17,0.09,0.14,0.12,0.02,0.19*,0.31**,0.16,0.29**,1,,,
12. UMS,0.15,-3.31E-03,0.14,0.17,0.22**,0.05,0.16,0.23**,0.23**,0.95***,0.76***,1,,,,
11. UMS Intimacy,0.06,-0.07,0.06,0.1,0.11,-0.04,0.07,0.26**,0.06,0.53***,1,,,,,
10. UMS Affiliation,0.17,0.03,0.15,0.18*,0.24**,0.09,0.18*,0.19*,0.28**,1,,,,,,
9. DOSPERT Risk Likelihood,0.59***,0.49***,0.55***,0.55***,0.46***,0.55***,0.58***,-0.17,1,,,,,,,
8. DOSPERT Risk Perception,-0.09,-0.34***,-0.19*,-0.01,8.61E-04,-0.16,-0.05,1,,,,,,,,
7. DOSPERT Risk Benefit,1.00***,0.82***,0.86***,0.84***,0.88***,0.87***,1,,,,,,,,,
6. DOSPERT Ethical Preference,0.88***,0.75***,0.77***,0.65***,0.69***,1,,,,,,,,,,
5. DOSPERT Financial Preference,0.87***,0.67***,0.68***,0.67***,1,,,,,,,,,,,
4. DOSPERT Social Preference,0.84***,0.59***,0.69***,1,,,,,,,,,,,,
3. DOSPERT Health/Safety Preference,0.87***,0.69***,1,,,,,,,,,,,,,
2. DOSPERT Recreation Preference,0.83***,1,,,,,,,,,,,,,,
1. DOSPERT General Preference,1,,,,,,,,,,,,,,,