Participants,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
1,6.7244,1.3196,6.7126,6.7362,1.6486,0.9906
2,15.9614,1.0097,15.551,16.3718,0.9878,1.0316
3,11.8483,1.1834,15.75,7.9466,1.3102,1.0566
4,16.8652,2.1099,17.6712,16.0592,2.4152,1.8046
5,15.103,2.1892,13.7464,16.4596,2.0948,2.2836
6,14.7777,2.0131,15.7862,13.7692,2.1232,1.903
7,14.6979,1.4736,15.8744,13.5214,1.6048,1.3424
8,1.2799,0.9195,1.9682,0.5916,1.171,0.668
9,11.994,1.3317,8.8084,15.1796,1.5804,1.083
10,14.4509,2.1236,14.9538,13.948,2.5298,1.7174
11,17.5783,2.168,19.3404,15.8162,2.2528,2.0832
12,12.4984,1.2741,15.9962,9.0006,1.4502,1.098
13,17.0431,3.7688,12.1014,21.9848,1.5424,5.9952
14,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
15,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
16,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
17,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
18,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
19,18.7081,1.545,21.9036,15.5126,1.5982,1.4918
20,7.3443,2.4193,7.3232,7.3654,2.313,2.5256
21,14.8684,2.0033,15.589,14.1478,2.2726,1.734
22,21.1786,2.6389,27.1992,15.158,3.2652,2.0126
23,23.5476,1.6146,26.1852,20.91,1.7634,1.4658
24,20.3118,2.7988,20.666,19.9576,3.31,2.2876
25,24.6384,1.6542,26.5664,22.7104,1.785,1.5234
26,22.24,1.75,23.1954,21.2846,1.9272,1.5728
27,24.8405,2.2131,31.7176,17.9634,2.389,2.0372
28,12.2395,1.4874,11.1704,13.3086,2.065,0.9098
29,25.5765,1.5375,20.575,30.578,1.9974,1.0776
30,31.4814,2.5984,32.3784,30.5844,3.2394,1.9574
31,12.2346,0.8173,21.9174,2.5518,0.8948,0.7398
32,28.7399,1.2656,18.7078,38.772,1.5728,0.9584
33,24.3713,1.8185,19.4824,29.2602,1.7982,1.8388
34,20.7523,1.8856,23.3692,18.1354,2.5334,1.2378
35,31.1764,1.9985,31.7022,30.6506,2.3602,1.6368
36,16.8161,1.6308,9.3608,24.2714,2.0828,1.1788
37,39.9003,2.2967,18.3004,61.5002,2.5962,1.9972
38,21.032,1.1217,21.6752,20.3888,1.156,1.0874
39,31.2731,1.6801,27.7274,34.8188,2.1486,1.2116
40,30.331,2.4311,26.7366,33.9254,2.7116,2.1506
41,17.7835,1.9016,12.4556,23.1114,1.7494,2.0538
42,23.6713,1.7251,24.834,22.5086,2.0274,1.4228
43,32.7795,1.7321,35.969,29.59,2.48,0.9842
44,11.9864,1.3777,13.8066,10.1662,1.277,1.4784
45,38.9,2.71,55.72,22.08,3.24,2.18
46,27.736,4.408,30.0894,25.3826,2.5248,6.2912
47,36.9466,1.9545,40.421,33.4722,2.2016,1.7074
48,28.8407,1.7178,32.1996,25.4818,2.1352,1.3004
49,10.8463,2.2344,17.1344,4.5582,2.6322,1.8366
50,21.1799,2.0802,29.4566,12.9032,2.7878,1.3726
51,30.1624,1.3363,22.2856,38.0392,1.5956,1.077
52,41.5928,3.3716,49.2438,33.9418,3.3446,3.3986
53,12.3057,1.1635,13.8998,10.7116,1.2056,1.1214
54,5.5283,1.7223,9.4222,1.6344,1.9982,1.4464
55,40.6993,2.3538,47.3712,34.0274,2.3178,2.3898
56,19.6668,2.2417,29.1194,10.2142,2.4504,2.033
57,37.7318,2.6686,25.9392,49.5244,3.0278,2.3094
58,34.2316,2.7041,38.5948,29.8684,2.4594,2.9488
59,33.5127,1.4626,21.8836,45.1418,1.8126,1.1126
60,22.0342,2.6136,19.3508,24.7176,3.4128,1.8144
61,47.542,2.3492,39.689,55.395,3.662,1.0364
62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
74,31.7701,3.248,31.1062,32.434,4.104,2.392
75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386