"","X","Justification_overall_timing","agreement_overall_timing","sexual_timing_justification","non_sexual_timing_justification","agreement_sexual_timing","agreement_non_sexual_timing"
"62.3",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"62.4",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"62.5",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"62.6",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"62.7",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"62.8",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"62.9",62,16.5158,2.9643,14.239,18.7926,4.405,1.5236
"63",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.1",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.2",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.3",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.4",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.5",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.6",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.7",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.8",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"63.9",63,24.2392,1.6839,27.2572,21.2212,1.8146,1.5532
"64",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.1",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.2",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.3",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.4",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.5",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.6",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.7",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.8",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"64.9",64,31.5048,1.9571,44.4862,18.5234,1.9294,1.9848
"65",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.1",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.2",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.3",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.4",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.5",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.6",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.7",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.8",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"65.9",65,13.4329,4.3642,16.991,9.8748,1.5288,7.1996
"66",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.1",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.2",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.3",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.4",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.5",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.6",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.7",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.8",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"66.9",66,6.6059,3.1617,11.6674,1.5444,4.1168,2.2066
"67",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.1",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.2",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.3",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.4",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.5",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.6",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.7",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.8",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"67.9",67,11.0189,3.9931,8.9606,13.0772,4.2164,3.7698
"68",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.1",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.2",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.3",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.4",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.5",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.6",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.7",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.8",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"68.9",68,29.4033,3.6866,30.084,28.7226,4.861,2.5122
"69",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.1",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.2",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.3",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.4",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.5",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.6",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.7",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.8",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"69.9",69,52.6961,1.4854,50.9268,54.4654,1.3054,1.6654
"70",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.1",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.2",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.3",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.4",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.5",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.6",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.7",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.8",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"70.9",70,39.6031,3.2874,43.794,35.4122,3.5852,2.9896
"71",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.1",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.2",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.3",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.4",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.5",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.6",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.7",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.8",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"71.9",71,34.8121,3.254,36.3898,33.2344,3.4566,3.0514
"72",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.1",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.2",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.3",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.4",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.5",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.6",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.7",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.8",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"72.9",72,33.2332,2.6632,35.1126,31.3538,3.1174,2.209
"73",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.1",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.2",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.3",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.4",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.5",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.6",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.7",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.8",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"73.9",73,49.2948,1.8979,39.8984,58.6912,2.2878,1.508
"74",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.1",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.2",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.3",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.4",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.5",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.6",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.7",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.8",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"74.9",74,31.7701,3.248,31.1062,32.434,4.104,2.392
"75",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.1",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.2",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.3",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.4",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.5",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.6",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.7",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.8",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"75.9",75,49.1554,5.444,82.7106,15.6002,8.5206,2.3674
"76",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.1",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.2",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.3",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.4",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.5",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.6",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.7",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.8",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"76.9",76,7.8868,4.0172,7.2712,8.5024,2.0166,6.0178
"77",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.1",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.2",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.3",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.4",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.5",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.6",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.7",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.8",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"77.9",77,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
"78",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.1",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.2",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.3",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.4",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.5",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.6",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.7",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.8",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"78.9",78,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
"79",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.1",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.2",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.3",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.4",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.5",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.6",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.7",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.8",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"79.9",79,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
"80",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.1",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.2",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.3",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.4",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.5",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.6",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.7",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.8",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"80.9",80,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
"81",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.1",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.2",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.3",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.4",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.5",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.6",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.7",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.8",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"81.9",81,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
"82",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.1",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.2",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.3",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.4",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.5",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.6",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.7",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.8",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"82.9",82,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
"83",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.1",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.2",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.3",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.4",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.5",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.6",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.7",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.8",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"83.9",83,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
"84",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.1",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.2",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.3",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.4",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.5",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.6",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.7",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.8",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"84.9",84,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
"85",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.1",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.2",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.3",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.4",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.5",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.6",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.7",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.8",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"85.9",85,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
"86",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.1",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.2",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.3",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.4",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.5",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.6",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.7",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.8",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"86.9",86,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
"87",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.1",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.2",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.3",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.4",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.5",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.6",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.7",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.8",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"87.9",87,17.9892,1.3663,27.176,8.8024,1.7066,1.026
"88",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.1",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.2",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.3",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.4",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.5",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.6",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.7",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.8",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"88.9",88,36.3625,1.6686,34.553,38.172,1.8806,1.4566
"89",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.1",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.2",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.3",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.4",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.5",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.6",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.7",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.8",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"89.9",89,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
"90",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.1",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.2",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.3",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.4",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.5",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.6",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.7",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.8",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"90.9",90,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
"91",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.1",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.2",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.3",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.4",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.5",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.6",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.7",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.8",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"91.9",91,22.5564,4.199,24.7298,20.383,6.8394,1.5586
"92",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.1",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.2",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.3",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.4",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.5",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.6",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.7",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.8",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
"92.9",92,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
